deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.22323942;54.82141352;-0.00135430;-0.01579987;-1.47487676;-0.00040627;-0.00039352;0.00119570 
0.25075817;55.07217169;-0.00130884;-0.01580128;-1.47476840;-0.00051123;0.00024478;0.00214362 
0.24990368;55.32207537;-0.00115130;-0.01570795;-1.47463441;0.00070622;-0.00082769;0.00241903 
0.24438977;55.56646514;-0.00108585;-0.01564399;-1.47458887;-0.00066421;-0.00047184;0.00166022 
0.25043440;55.81689954;-0.00110063;-0.01571900;-1.47446227;-0.00063288;-0.00004676;0.00168132 
0.25363970;56.07053924;-0.00114424;-0.01565650;-1.47437763;0.00013196;-0.00060179;0.00064591 
0.24839664;56.31893587;-0.00108911;-0.01564356;-1.47427809;0.00024335;-0.00057810;0.00066618 
0.26266384;56.58159971;-0.00103085;-0.01546312;-1.47407782;-0.00019056;-0.00096538;0.00227344 
0.23816085;56.81976056;-0.00104743;-0.01543693;-1.47400594;-0.00004441;-0.00041543;0.00091591 
0.24815011;57.06791067;-0.00096927;-0.01536744;-1.47393620;-0.00034723;-0.00116162;0.00061198 
0.25911307;57.32702374;-0.00091942;-0.01526317;-1.47380006;-0.00025150;-0.00089963;-0.00075317 
0.24999499;57.57701874;-0.00094099;-0.01533154;-1.47370291;0.00006258;0.00010668;0.00026925 
0.24995136;57.82697010;-0.00099541;-0.01544944;-1.47355545;-0.00050252;-0.00028692;0.00030673 
0.24998736;58.07695746;-0.00077435;-0.01552775;-1.47344458;-0.00088408;-0.00046520;0.00211487 
0.24335933;58.32031679;-0.00068150;-0.01541115;-1.47334445;0.00087036;-0.00117825;0.00231112 
0.24681115;58.56712794;-0.00072158;-0.01526279;-1.47327673;0.00001116;-0.00065019;0.00244144 
0.26513362;58.83226156;-0.00073723;-0.01521765;-1.47330177;0.00091497;-0.00061155;0.00130231 
0.24997330;59.08223486;-0.00067280;-0.01504767;-1.47322333;0.00058287;0.00070160;0.00248064 
0.23482919;59.31706405;-0.00059185;-0.01488525;-1.47318017;-0.00035844;-0.00055726;0.00218076 
0.25005865;59.56712270;-0.00058769;-0.01465255;-1.47313523;-0.00005594;-0.00055714;0.00077613 
0.24980855;59.81693125;-0.00071085;-0.01473505;-1.47309995;-0.00034197;-0.00053645;0.00131814 
0.24810648;60.06503773;-0.00084074;-0.01480624;-1.47304881;-0.00125761;-0.00081171;-0.00035522 
0.26206326;60.32710099;-0.00104665;-0.01453144;-1.47287989;-0.00066727;-0.00020298;0.00053812 
0.25477362;60.58187461;-0.00112236;-0.01418069;-1.47293139;0.00006044;-0.00024843;0.00143604 
0.24483800;60.82671261;-0.00107018;-0.01412471;-1.47293890;0.00004006;0.00001773;0.00277987 
0.24318361;61.06989622;-0.00102754;-0.01413186;-1.47279954;-0.00063024;-0.00072170;0.00397911 
0.24661040;61.31650662;-0.00109363;-0.01399359;-1.47279394;-0.00159119;-0.00042399;0.00478740 
0.25019193;61.56669855;-0.00116172;-0.01383139;-1.47268510;-0.00035874;-0.00055814;0.00018505 
0.25997901;61.82667756;-0.00112828;-0.01380548;-1.47246015;0.00034589;-0.00110727;0.00020581 
0.25364518;62.08032274;-0.00120074;-0.01375664;-1.47217381;-0.00089910;-0.00076119;-0.00080860 
